Unnamed: 0,Region,Country,City,Day,AvgTemperature,AvgTemperatureCelsia
344,Africa,Kenya,Nairobi,15,66.0,18.89
345,Africa,Kenya,Nairobi,16,67.4,19.67
346,Africa,Kenya,Nairobi,17,67.3,19.61
347,Africa,Kenya,Nairobi,18,67.2,19.56
348,Africa,Kenya,Nairobi,19,65.7,18.72
349,Africa,Kenya,Nairobi,20,66.2,19.0
350,Africa,Kenya,Nairobi,21,67.5,19.72
351,Africa,Kenya,Nairobi,22,69.6,20.89
352,Africa,Kenya,Nairobi,23,-99.0,-72.78
353,Africa,Kenya,Nairobi,24,70.5,21.39
354,Africa,Kenya,Nairobi,25,65.8,18.78
355,Africa,Kenya,Nairobi,26,66.7,19.28
356,Africa,Kenya,Nairobi,27,67.5,19.72
357,Africa,Kenya,Nairobi,28,67.9,19.94
358,Africa,Kenya,Nairobi,29,68.8,20.44
359,Africa,Kenya,Nairobi,30,67.0,19.44
360,Africa,Morocco,Rabat,1,61.1,16.17
361,Africa,Morocco,Rabat,2,62.9,17.17
362,Africa,Morocco,Rabat,3,65.1,18.39
363,Africa,Morocco,Rabat,4,65.2,18.44
364,Africa,Morocco,Rabat,5,62.1,16.72
365,Africa,Morocco,Rabat,6,59.5,15.28
366,Africa,Morocco,Rabat,7,59.9,15.5
367,Africa,Morocco,Rabat,8,58.4,14.67
368,Africa,Morocco,Rabat,9,59.9,15.5
369,Africa,Morocco,Rabat,10,56.7,13.72
370,Africa,Morocco,Rabat,11,58.0,14.44
371,Africa,Morocco,Rabat,12,56.7,13.72
372,Africa,Morocco,Rabat,13,57.4,14.11
373,Africa,Morocco,Rabat,14,58.8,14.89
374,Africa,Morocco,Rabat,15,56.1,13.39
375,Africa,Morocco,Rabat,16,55.5,13.06
376,Africa,Morocco,Rabat,17,55.3,12.94
377,Africa,Morocco,Rabat,18,55.3,12.94
378,Africa,Morocco,Rabat,19,55.4,13.0
379,Africa,Morocco,Rabat,20,56.4,13.56
380,Africa,Morocco,Rabat,21,56.7,13.72
381,Africa,Morocco,Rabat,22,57.9,14.39
382,Africa,Morocco,Rabat,23,60.8,16.0
383,Africa,Morocco,Rabat,24,60.7,15.94
384,Africa,Morocco,Rabat,25,62.5,16.94
385,Africa,Morocco,Rabat,26,63.8,17.67
386,Africa,Morocco,Rabat,27,64.3,17.94
387,Africa,Morocco,Rabat,28,67.1,19.5
388,Africa,Morocco,Rabat,29,66.2,19.0
389,Africa,Morocco,Rabat,30,59.4,15.22
390,Africa,Madagascar,Antananarivo,1,65.1,18.39
391,Africa,Madagascar,Antananarivo,2,63.9,17.72
392,Africa,Madagascar,Antananarivo,3,66.6,19.22
393,Africa,Madagascar,Antananarivo,4,65.7,18.72
394,Africa,Madagascar,Antananarivo,5,66.6,19.22
395,Africa,Madagascar,Antananarivo,6,69.0,20.56
396,Africa,Madagascar,Antananarivo,7,68.4,20.22
397,Africa,Madagascar,Antananarivo,8,71.3,21.83
398,Africa,Madagascar,Antananarivo,9,71.1,21.72
399,Africa,Madagascar,Antananarivo,10,71.7,22.06
400,Africa,Madagascar,Antananarivo,11,69.5,20.83
